iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,50,13,37,13,LOOCV,,LogReg,desc_fullname,64,True,0.51,0.5513558897243108,0.51,0.49833138492712964,0.5516619594964424
1,target_population,3,50,13,37,13,LOOCV,,LogReg,desc_fullname,64,False,0.39,0.30971428571428566,0.39,0.34126865671641793,0.5467709906951286
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc_fullname,64,True,0.46,0.49985828877005345,0.46,0.42422498274672193,0.49384904214559383
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc_fullname,64,False,0.46,0.4819216417910448,0.46,0.4258424908424908,0.5188125889436235
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,desc_fullname,64,True,0.46,0.4727873563218391,0.46,0.4410052631578947,0.48396081007115493
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,desc_fullname,64,False,0.51,0.5204377880184332,0.51,0.48259779077322934,0.4599256704980843
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc_fullname,64,True,0.49,0.5234989648033125,0.49,0.45261244263131056,0.5679284619594965
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc_fullname,64,False,0.51,0.5404285714285715,0.51,0.46933541017653163,0.5663745484400657
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,desc_fullname,64,True,0.51,0.5155865800865801,0.51,0.48724916159483295,0.5817887246852764
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,desc_fullname,64,False,0.53,0.53149662487946,0.53,0.5028798185941044,0.5529276409414341
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc_fullname,64,True,0.49,0.543062937062937,0.49,0.46049019607843134,0.5503114395183362
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc_fullname,64,False,0.5,0.43053171641791044,0.5,0.4578372352285396,0.5405195402298851
1,target_population,3,50,13,37,13,LOOCV,,SVM,desc_fullname,64,True,0.52,0.5578471177944863,0.52,0.5062037253526614,0.3960205801860975
1,target_population,3,50,13,37,13,LOOCV,,SVM,desc_fullname,64,False,0.34,0.2611904761904762,0.34,0.2914401008827238,0.33092063492063495
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc_fullname,64,True,0.4,0.4117918592706728,0.4,0.3867835628227194,0.5081347016967707
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc_fullname,64,False,0.48,0.4075,0.48,0.37165079365079373,0.5378505747126436
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,desc_fullname,64,True,0.39,0.45595238095238094,0.39,0.3291995221027479,0.42371778872468524
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,desc_fullname,64,False,0.51,0.38252525252525255,0.51,0.3541418983700863,0.47339430760810075
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc_fullname,64,True,0.42,0.5446363636363637,0.42,0.36567135050741606,0.5202894362342638
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc_fullname,64,False,0.46,0.49359038662486937,0.46,0.4343717995985416,0.5489065681444992
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,desc_fullname,64,True,0.47,0.5664269406392693,0.47,0.4224307692307693,0.41942287903667214
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,desc_fullname,64,False,0.52,0.5831115459882583,0.52,0.47445454545454546,0.37186119321291744
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,user_fullname,268,True,0.5,0.5019858156028368,0.5,0.3703333333333333,0.5407227148330597
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,user_fullname,268,False,0.5,0.25,0.5,0.33333333333333326,0.5556298850574712
1,target_population,3,50,13,37,13,LOOCV,,LogReg,user_fullname,268,True,0.45,0.33425824175824176,0.45,0.3301055180764574,0.289527969348659
1,target_population,3,50,13,37,13,LOOCV,,LogReg,user_fullname,268,False,0.5,0.25,0.5,0.33333333333333326,0.23577744937055287
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,user_fullname,268,True,0.43,0.45380070993914806,0.43,0.42279699248120295,0.5255500821018062
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,user_fullname,268,False,0.49,0.4636881720430108,0.49,0.3620901320901321,0.5090749863163656
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,user_fullname,268,True,0.11,0.14267080745341615,0.11,0.12233333333333332,0.22399562123700056
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,user_fullname,268,False,0.44,0.2391304347826087,0.44,0.30985915492957744,0.46745484400656806
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,user_fullname,268,True,0.5,0.25,0.5,0.33333333333333326,0.5038407772304325
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,user_fullname,268,False,0.5,0.25,0.5,0.33333333333333326,0.5489585112205801
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,user_fullname,268,True,0.49,0.2474747474747475,0.49,0.3288590604026846,0.3469084838533114
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,user_fullname,268,False,0.5,0.25,0.5,0.33333333333333326,0.3205213464696223
1,target_population,3,50,13,37,13,K-Fold,5,SVM,user_fullname,268,True,0.42,0.3893793103448276,0.42,0.37086004968650177,0.4293893814997263
1,target_population,3,50,13,37,13,K-Fold,5,SVM,user_fullname,268,False,0.5,0.25252525252525254,0.5,0.33557046979865773,0.43298927203065135
1,target_population,3,50,13,37,13,LOOCV,,SVM,user_fullname,268,True,0.43,0.4136996336996337,0.43,0.3608426209430496,0.2367111111111111
1,target_population,3,50,13,37,13,LOOCV,,SVM,user_fullname,268,False,0.5,0.25252525252525254,0.5,0.33557046979865773,0.1501992337164751
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,user_fullname,268,True,0.42,0.41555555555555557,0.42,0.4066756635177688,0.5219157635467979
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,user_fullname,268,False,0.5,0.25,0.5,0.33333333333333326,0.5005009852216749
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,user_fullname,268,True,0.49,0.42234848484848486,0.49,0.3800415019762846,0.6881310344827587
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,user_fullname,268,False,0.5,0.25,0.5,0.33333333333333326,0.2599785440613027
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,user_fullname,268,True,0.39,0.44170454545454546,0.39,0.2754598941798942,0.5092820470717022
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,user_fullname,268,False,0.47,0.3862582417582418,0.47,0.35899440696534624,0.5030834154351396
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,user_fullname,268,True,0.39,0.3986688311688312,0.39,0.27664363636363637,0.1646782703886152
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,user_fullname,268,False,0.44,0.23404255319148937,0.44,0.3055555555555556,0.15661127531472363
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc_user_fullname,64,True,0.5,0.5418806073153899,0.5,0.47116834094368343,0.5915559934318555
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,desc_user_fullname,64,False,0.52,0.4477843803056028,0.52,0.48023333333333335,0.6099486590038314
1,target_population,3,50,13,37,13,LOOCV,,LogReg,desc_user_fullname,64,True,0.51,0.5513558897243108,0.51,0.49833138492712964,0.5516619594964424
1,target_population,3,50,13,37,13,LOOCV,,LogReg,desc_user_fullname,64,False,0.39,0.30971428571428566,0.39,0.34126865671641793,0.5467709906951286
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc_user_fullname,64,True,0.46,0.49985828877005345,0.46,0.42422498274672193,0.49384904214559383
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,desc_user_fullname,64,False,0.46,0.4819216417910448,0.46,0.4258424908424908,0.5188125889436235
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,desc_user_fullname,64,True,0.46,0.4727873563218391,0.46,0.4410052631578947,0.48396081007115493
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,desc_user_fullname,64,False,0.51,0.5204377880184332,0.51,0.48259779077322934,0.4599256704980843
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc_user_fullname,64,True,0.49,0.5234989648033125,0.49,0.45261244263131056,0.5679284619594965
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,desc_user_fullname,64,False,0.51,0.5404285714285715,0.51,0.46933541017653163,0.5663745484400657
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,desc_user_fullname,64,True,0.51,0.5155865800865801,0.51,0.48724916159483295,0.5817887246852765
