iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
7,target_population,2,270,196,0,196,K-Fold,5,DecisionTree,tweets+numeric+iran,331,True,0.7381974248927039,0.7399325356063863,0.7381974248927039,0.7388470102294362,0.7342214663643235
7,target_population,2,270,196,0,196,K-Fold,5,RandomForest,tweets+numeric+iran,331,True,0.8175965665236051,0.8185789120090871,0.8175965665236051,0.8151930770544445,0.8876889644746786
7,target_population,2,270,196,0,196,K-Fold,5,SVM,tweets+numeric+iran,331,True,0.8283261802575107,0.8416802675854843,0.8283261802575107,0.8224159465493239,0.8567649281934996
7,target_population,2,270,196,0,196,K-Fold,5,AdaBoost,tweets+numeric+iran,331,True,0.8347639484978541,0.8348556115714122,0.8347639484978541,0.8333636496925175,0.8889644746787604
7,target_population,2,270,196,0,196,K-Fold,5,XGBoost,tweets+numeric+iran,331,True,0.8111587982832618,0.8104146476533296,0.8111587982832618,0.8104037930027188,0.8776266061980347
7,locals_vs_diaspora,3,34,64,542,34,K-Fold,5,LogReg,numeric,11,True,0.6296875,0.8407287177310522,0.6296875,0.7037570730042179,0.7701686559460315
7,locals_vs_diaspora,3,34,64,542,34,K-Fold,5,DecisionTree,numeric,11,True,0.8015625,0.811222892015096,0.8015625,0.8062852040816326,0.65860667699423
7,locals_vs_diaspora,3,34,64,542,34,K-Fold,5,RandomForest,numeric,11,True,0.8421875,0.8270688410426782,0.8421875,0.8340764751612555,0.7619778270476921
7,locals_vs_diaspora,3,34,64,542,34,K-Fold,5,SVM,numeric,11,True,0.6078125,0.8476669549052975,0.6078125,0.6920390204307887,0.7436081259094499
7,locals_vs_diaspora,3,34,64,542,34,K-Fold,5,AdaBoost,numeric,11,True,0.6703125,0.8276671744260182,0.6703125,0.7326048812009146,0.7486489073861549
7,locals_vs_diaspora,3,34,64,542,34,K-Fold,5,XGBoost,numeric,11,True,0.846875,0.818274794673967,0.846875,0.8307239132331018,0.7057290060658649
7,locals_vs_diaspora,3,34,64,542,34,K-Fold,5,LogReg,numeric+iran,31,True,0.7078125,0.8390587366036902,0.7078125,0.7595307520217591,0.7416342439409759
