iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC,n_labeled_users
1,target_population,2,50,13,0,13,K-Fold,5,AdaBoost,numeric,11,True,0.8253968253968254,0.8206504824151883,0.8253968253968254,0.8227691340562628,0.8476923076923076,100
1,target_population,2,50,13,0,13,K-Fold,5,AdaBoost,numeric,11,False,0.8253968253968254,0.8206504824151883,0.8253968253968254,0.8227691340562628,0.8553846153846153,100
1,target_population,2,50,13,0,13,K-Fold,5,XGBoost,numeric,11,True,0.7619047619047619,0.7687074829931972,0.7619047619047619,0.7651114317780984,0.8430769230769232,100
1,target_population,2,50,13,0,13,K-Fold,5,XGBoost,numeric,11,False,0.7936507936507936,0.7669552669552668,0.7936507936507936,0.7739984882842025,0.7984615384615384,100
1,target_population,2,50,13,0,13,K-Fold,5,LogReg,numeric+iran,31,True,0.873015873015873,0.8816137566137566,0.873015873015873,0.8762552640103661,0.893846153846154,100
1,target_population,2,50,13,0,13,K-Fold,5,LogReg,numeric+iran,31,False,0.9047619047619048,0.9014319014319013,0.9047619047619048,0.9017273576097105,0.896923076923077,100
1,target_population,2,50,13,0,13,K-Fold,5,DecisionTree,numeric+iran,31,True,0.8253968253968254,0.8206504824151883,0.8253968253968254,0.8227691340562628,0.7192307692307692,100
1,target_population,2,50,13,0,13,K-Fold,5,DecisionTree,numeric+iran,31,False,0.8253968253968254,0.8206504824151883,0.8253968253968254,0.8227691340562628,0.7192307692307692,100
1,target_population,2,50,13,0,13,K-Fold,5,RandomForest,numeric+iran,31,True,0.9206349206349206,0.9194669062593591,0.9206349206349206,0.9166147393247435,0.9230769230769231,100
1,target_population,2,50,13,0,13,K-Fold,5,RandomForest,numeric+iran,31,False,0.8571428571428571,0.85421888053467,0.8571428571428571,0.8354999648654347,0.9400000000000001,100
1,target_population,2,50,13,0,13,K-Fold,5,SVM,numeric+iran,31,True,0.8888888888888888,0.8924522189828312,0.8888888888888888,0.8903853348297793,0.8353846153846154,100
1,target_population,2,50,13,0,13,K-Fold,5,SVM,numeric+iran,31,False,0.8888888888888888,0.8924522189828312,0.8888888888888888,0.8903853348297793,0.8307692307692308,100
1,target_population,2,50,13,0,13,K-Fold,5,AdaBoost,numeric+iran,31,True,0.8571428571428571,0.8482479784366578,0.8571428571428571,0.8499065307845384,0.8184615384615386,100
1,target_population,2,50,13,0,13,K-Fold,5,AdaBoost,numeric+iran,31,False,0.873015873015873,0.8659611992945326,0.873015873015873,0.8639138639138639,0.8515384615384615,100
1,target_population,2,50,13,0,13,K-Fold,5,XGBoost,numeric+iran,31,True,0.873015873015873,0.8659611992945326,0.873015873015873,0.8639138639138639,0.8615384615384616,100
1,target_population,2,50,13,0,13,K-Fold,5,XGBoost,numeric+iran,31,False,0.8412698412698413,0.8276643990929704,0.8412698412698413,0.8219526804432465,0.836923076923077,100
1,target_population,2,50,13,0,13,K-Fold,5,LogReg,desc+numeric,62,True,0.8888888888888888,0.8924522189828312,0.8888888888888888,0.8903853348297793,0.9292307692307693,100
1,target_population,2,50,13,0,13,K-Fold,5,LogReg,desc+numeric,62,False,0.873015873015873,0.8674103674103674,0.873015873015873,0.8689698101462807,0.9292307692307693,100
1,target_population,2,50,13,0,13,K-Fold,5,DecisionTree,desc+numeric,62,True,0.8253968253968254,0.8305798509880143,0.8253968253968254,0.8277483833039389,0.7476923076923078,100
1,target_population,2,50,13,0,13,K-Fold,5,DecisionTree,desc+numeric,62,False,0.7777777777777778,0.7907407407407406,0.7777777777777778,0.7834467120181405,0.6892307692307692,100
1,target_population,2,50,13,0,13,K-Fold,5,RandomForest,desc+numeric,62,True,0.8253968253968254,0.8206504824151883,0.8253968253968254,0.8227691340562628,0.8538461538461538,100
1,target_population,2,50,13,0,13,K-Fold,5,RandomForest,desc+numeric,62,False,0.8095238095238095,0.8463901689708141,0.8095238095238095,0.7380952380952381,0.8807692307692309,100
1,target_population,2,50,13,0,13,K-Fold,5,SVM,desc+numeric,62,True,0.8571428571428571,0.8615160349854228,0.8571428571428571,0.859066859066859,0.8953846153846154,100
