username,display_name,followers_count,following_count,statuses_count,followers_following_ratio,bio_length,account_age_years,verified_flag,network_degree,bio_mentions_iran,cluster
88sparber,Daniel Sparber,2.0,343.0,3.0,0.005813953488372093,26,2.702258726899384,0,1,0,3
8mathieu8,Trees,1267.0,7195.0,6775.0,0.17607003891050585,40,16.78576317590691,0,1,0,5
8nilsjxeqhj1v,DaisyJennings,36.0,1285.0,0.0,0.027993779160186624,0,1.0376454483230664,0,1,0,0
90ndstoppage,90ndstoppage,0.0,566.0,5593.0,0.0,127,5.867214236824093,0,1,0,3
9122432itw,Amara,304.0,396.0,3321.0,0.7657430730478589,120,3.786447638603696,0,1,0,5
965bita37920,Bita 965,0.0,1.0,0.0,0.0,0,0.9527720739219713,0,1,0,0
999qol9196,あああ,486.0,7500.0,2124.0,0.06479136115184642,0,2.3709787816563996,0,1,0,0
99piorg,99 Percent Invisible,0.0,21.0,2859.0,0.0,101,10.869267624914443,0,1,0,3
9rcl7at9wzomubs,Мақсат Асылбеков,12.0,65.0,6.0,0.18181818181818182,0,5.286789869952088,0,1,0,0
9tantiope,9T Antiope,550.0,202.0,927.0,2.70935960591133,155,10.620123203285422,0,1,0,1
a_01_2024,Ali,48.0,454.0,159.0,0.1054945054945055,0,1.4483230663928817,0,1,0,0
a_abothman,abothman ahwazi,418.0,1060.0,1512.0,0.3939679547596607,33,4.618754277891855,0,1,0,5
a_alirezabeigi,احمد علیرضابیگی,3823.0,30.0,427.0,123.3225806451613,123,6.620123203285421,0,1,1,7
a_alley,Ahmed Alley,918.0,567.0,1913.0,1.6161971830985915,30,17.037645448323065,0,1,0,5
a_baronca,Andrea Baronchelli,5437.0,603.0,4578.0,9.001655629139073,53,16.867898699520875,0,1,0,5
a_bindoff,A Bindoff,236.0,598.0,7723.0,0.39398998330550916,35,10.869267624914443,0,1,0,5
a_f_cebeci,Ali Fuat Cebeci,9013.0,5337.0,0.0,1.688460097414762,29,5.204654346338125,0,1,0,5
a_fallahzadeh,Amir Fallahzadeh,1.0,222.0,1.0,0.004484304932735426,0,3.1211498973305956,0,1,0,0
a_hossainy,أحمد حسيني  🇵🇸,1302.0,888.0,0.0,1.4645669291338583,149,14.787132101300479,0,1,0,5
a_nazari99,A Nazari,21.0,276.0,1.0,0.07581227436823104,33,6.3709787816564,0,1,0,1
a_rnazari,Amirreza Nazari,0.0,3028.0,6145.0,0.0,159,8.618754277891854,0,1,1,4
a_s_v_t_r,حــزامـ,389.0,943.0,0.0,0.4120762711864407,82,2.2039698836413417,0,1,0,5
a_sarkohi,Arash Sarkohi,2995.0,702.0,1854.0,4.260312944523471,45,9.78507871321013,0,1,1,4
a_soleimani_f,عارفه سلیمانی,14.0,93.0,27.0,0.14893617021276595,7,3.2060232717316905,0,1,0,0
a_z_im,Az_im,0.0,1213.0,6145.0,0.0,33,11.373032169746748,0,1,1,4
a16z,a16z,0.0,52.0,6145.0,0.0,125,16.95277207392197,0,1,0,3
